PE,6M return,1Y return,2Y return,3Y return,5Y return,Predict,Month
 25.69 ,38.5%,16.7%,8.7%,9.3%,14.0%,12.7%,17-Jul
 25.62 ,24.8%,12.9%,11.5%,7.6%,13.5%,17.8%,17-Aug
 25.43 ,13.9%,13.7%,11.0%,7.1%,11.4%,11.7%,17-Sep
 26.38 ,23.4%,19.8%,13.2%,7.5%,13.0%,0.5%,17-Oct
 26.16 ,13.0%,24.3%,13.5%,6.0%,11.7%,6.4%,17-Nov
 26.92 ,22.3%,28.6%,15.1%,8.3%,12.3%,3.2%,17-Dec
 27.50 ,19.8%,28.8%,20.7%,7.8%,12.8%,-1.8%,18-Jan
 25.68 ,11.9%,18.2%,22.5%,5.6%,13.0%,2.9%,18-Feb
 24.66 ,6.8%,10.2%,14.3%,6.0%,12.2%,14.9%,18-Mar
 26.66 ,8.0%,15.4%,17.0%,9.5%,12.6%,9.4%,18-Apr
 27.19 ,10.2%,11.6%,14.7%,8.4%,12.4%,11.1%,18-May
 25.90 ,3.5%,12.5%,13.7%,8.6%,12.9%,12.8%,18-Jun
 28.22 ,6.1%,12.7%,14.7%,10.0%,14.6%,4.5%,18-Jul
 28.40 ,23.9%,17.8%,15.3%,13.6%,16.4%,-6.0%,18-Aug
 26.44 ,16.8%,11.7%,12.7%,11.2%,13.8%,-1.2%,18-Sep
 25.00 ,-6.5%,0.5%,9.7%,8.8%,10.5%,9.4%,18-Oct
 26.31 ,2.6%,6.4%,15.0%,11.1%,12.0%,9.3%,18-Nov
 26.17 ,2.8%,3.2%,15.2%,11.0%,11.5%,10.9%,18-Dec
 26.26 ,-9.0%,-1.8%,12.5%,12.7%,12.2%,12.5%,19-Jan
 26.32 ,-14.6%,2.9%,10.2%,15.6%,11.4%,8.1%,19-Feb
 29.01 ,13.1%,14.9%,12.6%,14.5%,11.6%,-4.2%,19-Mar
 29.33 ,27.9%,9.4%,12.4%,14.4%,11.9%,-29.7%,19-Apr
